#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2023 12 01 07 26  1.1  0.3 12.5  1.1  5.9   N ENE      STEEP  5.2  64
2023 12 01 06 56  1.1  0.3 13.3  1.0  5.6   N ENE      STEEP  5.2  62
2023 12 01 06 26  1.1  0.2 13.3  1.0  5.9   N  NE      STEEP  5.3  55
2023 12 01 05 56  1.0  0.2 15.4  1.0  5.6   N ENE      STEEP  5.2  63
2023 12 01 05 26  0.9  0.2 15.4  0.9  5.6 NNE ENE      STEEP  5.2  59
2023 12 01 04 56  1.0  0.2 13.3  1.0  5.9   N ENE      STEEP  5.4  60
2023 12 01 04 26  1.0  0.2 10.5  1.0  5.6 NNE ENE      STEEP  5.3  66
2023 12 01 03 56  1.0  0.2 15.4  1.0  5.6   N ENE      STEEP  5.2  64
2023 12 01 03 26  1.0  0.2 10.5  0.9  5.6  NE ENE      STEEP  5.2  62
2023 12 01 02 56  0.9  0.2 15.4  0.9  5.6   N ENE      STEEP  5.2  59
2023 12 01 02 26  1.0  0.2 14.3  1.0  5.9 NNE ENE      STEEP  5.1  62
2023 12 01 01 56  1.0  0.2 11.1  0.9  5.6 NNE ENE      STEEP  5.1  66
2023 12 01 01 26  1.0  0.2 10.5  0.9  5.9 NNE ENE      STEEP  4.9  64
2023 12 01 00 56  1.0  0.2 10.5  1.0  5.6 NNE ENE      STEEP  5.0  60
2023 12 01 00 26  1.0  0.2 10.5  1.0  5.9 NNE ENE      STEEP  5.1  67
2023 11 30 23 56  1.0  0.2 11.8  1.0  5.6 NNE ENE      STEEP  5.0  66
2023 11 30 23 26  1.0  0.2 11.8  1.0  5.6 NNE ENE      STEEP  4.7  69
2023 11 30 22 56  1.1  0.2 10.5  1.1  5.6 NNE ENE      STEEP  4.8  64
2023 11 30 22 26  1.0  0.2 11.1  1.0  5.3   N ENE VERY_STEEP  4.5  62
